French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
parlé,speak
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
place,square
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
yeux,eyes
façon,way
dont,whose
premier,first
perdu,lost
main,hand
première,first
tiens,here
enfant,child
point,point
venu,came
suite,after
venez,come
devant,in front of
demandé,request
chambre,bedroom
aujourd'hui,today
mari,husband
cause,cause
espère,hope
attendez,Wait
parti,left
boulot,job
dirait,would say
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
